Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Word overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
en,ro,56.29,0.033484377,0.519686992,0.187599617,-0.534291076,0.54526688,-0.752645452,0.163514759,-0.94898463,-0.433293446,0.243839465,0.001537424,0.5001,0.3498,0.4997,0.0972
en,hr,54.3,0.451514869,0.129072545,0.200589735,-0.686027734,0.54526688,-0.857402254,0.734470446,-0.94898463,-2.816204625,0.19748707,0.582941581,0.6368,0.5687,0.5093,0.0777
en,ar,35.87,1.006746054,-1.631016627,0.08610934,-0.835972599,0.54526688,-0.960922028,-0.898723408,-0.94898463,0.45821743,0.590200479,0.086859208,0.5839,0.5687,0.5983,1
en,lv,54.51,0.378754452,0.218026607,0.150023908,-0.934988279,0.54526688,-1.029281026,1.20895374,-0.94898463,-0.732675228,-0.255867289,0.160593407,0.7006,0.3433,0.5983,0.083
en,he,32.93,1.050393749,-2.117708781,0.114321007,-1.096068136,0.54526688,-1.140488239,-0.619437084,-0.94898463,0.312893562,0.590200479,-0.03414166,0.5744,0.5687,0.5549,0.1887
en,uk,57.06,-0.070944878,0.584585529,0.128187759,-1.24989735,0.54526688,-1.246689711,1.589955549,-0.94898463,0.170924032,0.053878439,-0.06695317,0.5211,0.5687,0.4661,0.0929
en,id,47.68,0.705123674,-0.312318741,0.177398789,-1.263853054,0.54526688,-1.256324528,0.525274709,-0.94898463,-1.309716726,0.590200479,-0.050313172,0.4618,0.2736,0.4546,0.6014
en,da,59.87,-0.453146461,0.760558157,0.180387313,-1.287183995,0.54526688,-1.272431874,0.592216931,-0.94898463,-1.608639377,-1.055766477,-0.086997674,0.7175,0.5687,0.5983,0.0354
en,sv,63.95,-1.630317449,1.006379146,0.143170226,-1.32474757,0.54526688,-1.298365224,0.487224407,-0.94898463,-1.171442727,-1.055766477,-0.337704699,0.5233,0.5687,0.5242,0.0676
en,zh,41.86,0.86538529,-0.799010895,0.107467325,-1.411973294,0.54526688,-1.358584608,0.307574441,-0.94898463,-0.694738911,0.590200479,0.086859208,0.5839,0.5687,0.5983,1
fi,cs,48.35,-0.613408078,0.813914965,0.188679245,2.821498253,0.17377104,1.825615382,-1.157382288,1.291557273,0.907892443,0.590200479,0.075119261,0.5549,0.5687,0.4818,0.0882
fi,ru,46.95,-0.311785697,0.704718761,0.159450596,1.873754059,0.17377104,1.171306447,-0.499150064,1.291557273,0.791216641,0.590200479,-0.515222654,0.4323,0.2804,0.5099,0.1415
fi,no,52.94,-1.630317449,1.006379146,0.197804287,1.241510192,0.17377104,0.734814391,-0.840558589,1.291557273,0.857471389,0.590200479,0.201054507,0.7597,0.5687,0.6506,0.0478
fi,es,45,0.451514869,0.129072545,0.1822632,1.136962251,0.17377104,0.662636,-1.487610089,1.291557273,0.951521745,0.590200479,-0.197203778,0.509,0.4477,0.5617,0.1597
fi,ko,17.06,1.092509625,-2.949714514,0.151133501,1.089662201,0.17377104,0.629980726,1.411236708,1.291557273,-0.160297852,0.590200479,0.155394513,0.4849,0.4638,0.3638,0.3414
fi,et,63.35,-2.948849201,1.092153523,0.258590371,0.749460668,0.17377104,0.39511049,0.787207604,1.291557273,0.338837894,-2.64109249,-0.368909102,0.6584,0.5687,0.6506,0.0298
fi,pl,44.78,0.520115216,0.032994838,0.158832755,0.703254081,0.17377104,0.363210128,0.801097958,1.291557273,0.330939698,0.590200479,-0.137884786,0.4809,0.2804,0.5146,0.0745
fi,nl,43.37,0.760956035,-0.453697316,0.171522266,0.504323909,0.17377104,0.225871605,-0.337975443,1.291557273,0.754639625,0.590200479,0.2034567,0.5635,0.5687,0.4561,0.0919
fi,pt,45.26,0.301296653,0.300840858,0.180409676,0.525078257,0.17377104,0.240200107,-1.07504565,1.291557273,0.895674174,0.590200479,-0.045187123,0.5237,0.5687,0.454,0.1571
fi,la,30.26,0.961450893,-1.285703049,0.018867925,0.338757432,0.17377104,0.111566894,0.049408809,1.291557273,0.648857375,0.590200479,0.365122961,0.8016,0.5687,0.6506,0.1336
fi,fr,45.13,0.378754452,0.218026607,0.197709234,0.251315147,0.17377104,0.051198001,-0.597421851,1.291557273,0.811743153,0.590200479,0.027198247,0.4538,0.3277,0.3996,0.1165
fi,de,46.68,-0.185334185,0.646154437,0.172567844,0.130052999,0.17377104,-0.032519639,0.416645311,1.291557273,0.517411809,0.590200479,0.006760452,0.4493,0.1864,0.4201,0.0976
fi,hi,30.75,0.914379004,-1.017857028,0.127608003,0.161022962,0.17377104,-0.011138422,-2.08567128,1.291557273,1.012907214,0.590200479,0.006760452,0.5117,0.3433,0.5129,0.2859
fi,ca,43.52,0.705123674,-0.312318741,0.218288104,0.149517012,0.17377104,-0.019081965,-1.636763242,1.291557273,0.968740353,0.590200479,0.181450611,0.4882,0.2804,0.4287,0.145
fi,it,45.69,0.218492836,0.378308417,0.178746257,0.044203098,0.17377104,-0.091789173,-0.916818639,1.291557273,0.870481604,0.590200479,0.106988829,0.5653,0.5687,0.4906,0.1272
fi,en,48.73,-1.017235098,0.914000457,0.193051661,0.123949994,0.17377104,-0.036733066,-1.059034404,1.291557273,0.893229739,0.590200479,-0.013687389,0.4766,0.2736,0.4694,0.0991
fi,bg,46.33,0.033484377,0.519686992,0.155410865,-0.363406583,0.17377104,-0.373197024,0.573460789,1.291557273,0.44868281,0.590200479,-0.351997476,0.428,0.2804,0.4599,0.1189
fi,sl,45.76,0.12954998,0.451078002,0.193907134,-0.462645896,0.17377104,-0.441710415,0.939384218,1.291557273,0.246318221,0.590200479,-0.088460856,0.5172,0.5687,0.4533,0.1079
fi,sk,43.56,0.646566728,-0.185851296,0.148281926,-0.427488318,0.17377104,-0.41743813,1.152921784,1.291557273,0.08970656,0.590200479,0.104166686,0.6145,0.5687,0.6506,0.0923
fi,ro,43.58,0.585005577,-0.071447576,0.183071147,-0.534291076,0.17377104,-0.491173215,0.163514759,1.291557273,0.611816909,0.590200479,-0.090804983,0.4768,0.3498,0.4795,0.1021
fi,hr,47.21,-0.453146461,0.760558157,0.173280738,-0.686027734,0.17377104,-0.595930018,0.734470446,1.291557273,0.367918718,0.590200479,0.577555536,0.6212,0.5687,0.448,0.1119
fi,ar,26.4,1.006746054,-1.631016627,0.10047051,-0.835972599,0.17377104,-0.699449792,-0.898723408,1.291557273,0.867447818,0.590200479,0.104166686,0.6145,0.5687,0.6506,1
fi,lv,55.96,-2.116948288,1.05003234,0.171902476,-0.934988279,0.17377104,-0.76780879,1.20895374,1.291557273,0.042082923,0.590200479,0.145440672,0.6783,0.3433,0.6506,0.0442
fi,he,25.3,1.050393749,-2.117708781,0.15013545,-1.096068136,0.17377104,-0.879016003,-0.619437084,1.291557273,0.816170865,0.590200479,-0.121623954,0.5595,0.5687,0.552,0.1898
fi,uk,46.56,-0.070944878,0.584585529,0.156979231,-1.24989735,0.17377104,-0.985217475,1.589955549,1.291557273,-0.3944908,0.590200479,-0.168790291,0.5235,0.5687,0.4906,0.0922
fi,id,35.31,0.86538529,-0.799010895,0.168052849,-1.263853054,0.17377104,-0.994852292,0.525274709,1.291557273,0.470756351,0.590200479,0.126340543,0.4683,0.2736,0.4034,0.5231
fi,da,48.68,-0.798416536,0.865000571,0.166817166,-1.287183995,0.17377104,-1.010959637,0.592216931,1.291557273,0.439845173,0.590200479,-0.02822832,0.7115,0.5687,0.6506,0.0708
fi,sv,49.96,-1.285047375,0.961078277,0.158167387,-1.32474757,0.17377104,-1.036892988,0.487224407,1.291557273,0.487571669,0.590200479,-0.011463042,0.5237,0.5687,0.4418,0.0347
