Task lang,Aux lang,Accuracy,Rank,Accuracy level,Overlap word-level,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
am,cu,14.23,-0.135134465,0.651293541,0.000401768,0.121165861,0.760533578,-0.337998643,-0.062859718,0.008683549,0.42333756,0.422132886,-0.001674112,0.6193,0.5687,0.6597,0.195
am,sv,14.04,-0.029143352,0.595038924,0.000803536,0.084938089,0.760533578,-0.367633785,0.056818549,0.008683549,0.25253626,0.422132886,0.1160599,0.6416,0.5687,0.5805,0.2824
am,da,3.84,0.905862176,-0.935866334,0.000803536,0.020753081,0.760533578,-0.420138582,0.166051374,0.008683549,0.020034241,0.422132886,0.118157216,0.781,0.5687,0.6597,0.2735
am,id,3.58,0.927456349,-1.054381944,0.000803536,0.031255459,0.760533578,-0.411547398,0.172049588,0.008683549,0.004030343,0.422132886,0.248339141,0.5347,0.4816,0.2867,0.4018
am,uk,1.1,1.029552309,-1.966563222,0.001205303,0.066423317,0.760533578,-0.38277929,0.410337873,0.008683549,-1.627301619,0.422132886,0.035468945,0.5491,0.5687,0.4249,0.2145
am,fa,7.09,0.838443657,-0.640743812,0.000803536,0.081465131,0.760533578,-0.370474743,-0.192955946,0.008683549,0.552194674,0.422132886,-0.001674112,0.6193,0.5687,0.6597,1
am,he,17.25,-0.703205751,0.851797477,0.000803536,0.10728665,0.760533578,-0.349352153,0.364323343,0.008683549,-0.964094124,-2.233580191,0.091371594,0.6402,0.5687,0.5844,0.1102
am,eu,9.38,0.689948072,-0.213871905,0.000803536,0.373166954,0.760533578,-0.131856016,0.279740544,0.008683549,-0.382789698,0.422132886,0.071157188,0.5479,0.3498,0.5062,0.2627
am,lv,9.83,0.578648763,0.001038092,0.000803536,0.261697161,0.760533578,-0.223040843,0.317569339,0.008683549,-0.591941993,0.422132886,-0.014668601,0.6744,0.4477,0.6597,0.259
am,sl,1.18,1.009869229,-1.715558431,0.001205303,0.288932895,0.760533578,-0.200761393,0.305267147,0.008683549,-0.517379171,0.422132886,0.010509213,0.5329,0.5687,0.4094,0.2245
am,hr,8.38,0.7911146,-0.479775695,0.000803536,0.364792903,0.760533578,-0.13870618,0.182701018,0.008683549,-0.025471678,0.422132886,0.352128076,0.6035,0.5687,0.3733,0.215
