Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Word overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
no,da,68.94,-1.630317449,1.006379146,,-1.287183995,1.196557603,-1.730833888,0.592216931,-1.224840036,-3.573431784,-1.901491133,0.124568768,,,,0.0286
no,sv,72.67,-2.948849201,1.092153523,,-1.32474757,1.196557603,-1.756767238,0.487224407,-1.224840036,-2.076421392,-1.901491133,-0.238447785,,,,0.0206
no,zh,39.73,0.914379004,-1.017857028,,-1.411973294,1.196557603,-1.816986622,0.307574441,-1.224840036,-1.16829197,0.590200479,0.43789969,,,,1
es,cs,58.28,0.451514869,0.129072545,,2.821498253,0.587809653,1.5342,-1.157382288,-1.462480226,0.423118988,0.136699067,0.229389,,,,0.0821
es,ru,63.84,-0.185334185,0.646154437,,1.873754059,0.587809653,0.879891065,-0.499150064,-1.462480226,-0.028034291,-0.066060666,-0.245924551,,,,0.2742
es,no,64.74,-0.453146461,0.760558157,,1.241510192,0.587809653,0.44339901,-0.840558589,-1.462480226,0.243464655,0.053878439,0.293075798,,,,0.1153
es,ko,21.31,1.092509625,-2.949714514,,1.089662201,0.587809653,0.338565345,1.411236708,-1.462480226,0.428906111,0.590200479,0.359090239,,,,0.4956
es,et,42.41,0.914379004,-1.017857028,,0.749460668,0.587809653,0.103695109,0.787207604,-1.462480226,-1.05777999,0.590200479,0.042275189,,,,0.1347
es,pl,45.23,0.86538529,-0.799010895,,0.703254081,0.587809653,0.071794747,0.801097958,-1.462480226,-1.001777251,0.053878439,0.043346216,,,,0.0984
es,nl,65.33,-0.613408078,0.813914965,,0.504323909,0.587809653,-0.065543777,-0.337975443,-1.462480226,-0.201372314,0.28033711,0.116696548,,,,0.0683
es,pt,74.58,-2.116948288,1.05003234,,0.525078257,0.587809653,-0.051215275,-1.07504565,-1.462480226,0.381340793,-3.296691923,-0.427836068,,,,0.0156
es,la,45.37,0.814306121,-0.613979125,,0.338757432,0.587809653,-0.179848487,0.049408809,-1.462480226,-0.865413225,-4.678743551,0.383710975,,,,0.0573
es,fr,74.37,-1.630317449,1.006379146,,0.251315147,0.587809653,-0.240217381,-0.597421851,-1.462480226,0.061224761,-1.841046242,-0.368200551,,,,0.0438
es,de,61.27,0.12954998,0.451078002,,0.130052999,0.587809653,-0.32393502,0.416645311,-1.462480226,-3.068097584,0.136699067,-0.079994612,,,,0.0703
es,hi,31.24,1.050393749,-2.117708781,,0.161022962,0.587809653,-0.302553804,-2.08567128,-1.462480226,0.745787057,0.19748707,0.10159639,,,,0.3634
es,ca,82.77,-2.948849201,1.092153523,,0.149517012,0.587809653,-0.310497347,-1.636763242,-1.462480226,0.617193041,-6.462260229,0.012785062,,,,0.0205
es,it,73.88,-1.285047375,0.961078277,,0.044203098,0.587809653,-0.383204555,-0.916818639,-1.462480226,0.291733747,-2.950661746,-0.194998509,,,,0.0588
es,en,66.83,-1.017235098,0.914000457,,0.123949994,0.587809653,-0.328148447,-1.059034404,-1.462480226,0.37285572,0.28033711,-0.426361356,,,,0.0698
es,fi,35.25,1.006746054,-1.631016627,,0.034221368,0.587809653,-0.390095797,1.471043869,-1.462480226,0.519843602,0.590200479,-0.197203778,,,,0.1597
es,bg,63.79,-0.070944878,0.584585529,,-0.363406583,0.587809653,-0.664612405,0.573460789,-1.462480226,-2.513295153,0.136699067,-0.379578585,,,,0.1089
es,sl,60.46,0.301296653,0.300840858,,-0.462645896,0.587809653,-0.733125797,0.939384218,-1.462480226,-0.540535656,0.053878439,0.028280318,,,,0.0717
es,sk,54.7,0.646566728,-0.185851296,,-0.427488318,0.587809653,-0.708853512,1.152921784,-1.462480226,-0.029250909,0.053878439,0.069608349,,,,0.0904
es,ro,65.47,-0.798416536,0.865000571,,-0.534291076,0.587809653,-0.782588597,0.163514759,-1.462480226,-1.202428623,-2.64109249,-0.194998509,,,,0.1069
es,hr,60.74,0.218492836,0.378308417,,-0.686027734,0.587809653,-0.887345399,0.734470446,-1.462480226,-1.294344946,0.19748707,0.587938486,,,,0.0776
es,ar,46.23,0.760956035,-0.453697316,,-0.835972599,0.587809653,-0.990865173,-0.898723408,-1.462480226,0.280605601,0.590200479,0.069608349,,,,1
es,lv,52.97,0.705123674,-0.312318741,,-0.934988279,0.587809653,-1.059224172,1.20895374,-1.462480226,0.081246618,-0.255867289,0.116696548,,,,0.129
es,he,56.16,0.585005577,-0.071447576,,-1.096068136,0.587809653,-1.170431384,-0.619437084,-1.462480226,0.079821302,0.590200479,-0.285228361,,,,0.1696
es,uk,61.35,0.033484377,0.519686992,,-1.24989735,0.587809653,-1.276632857,1.589955549,-1.462480226,0.688517097,0.053878439,-0.044902866,,,,0.1095
es,id,56.53,0.520115216,0.032994838,,-1.263853054,0.587809653,-1.286267674,0.525274709,-1.462480226,-3.364538256,0.590200479,0.099794503,,,,0.6143
es,da,64.12,-0.311785697,0.704718761,,-1.287183995,0.587809653,-1.302375019,0.592216931,-1.462480226,-2.294691225,0.136699067,0.148683073,,,,0.089
es,sv,60.41,0.378754452,0.218026607,,-1.32474757,0.587809653,-1.32830837,0.487224407,-1.462480226,-5.352137123,0.136699067,-0.042914607,,,,0.1252
es,zh,35.92,0.961450893,-1.285703049,,-1.411973294,0.587809653,-1.388527753,0.307574441,-1.462480226,-1.889920241,0.590200479,0.069608349,,,,1
ko,cs,14.61,0.378754452,0.218026607,,2.821498253,1.130137247,1.152490185,-1.157382288,1.540972303,0.930257805,0.590200479,0.421851898,,,,0.4141
