Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Entity overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
lo,it,6,-1.432728774,0.917845425,0,0.632419405,-1.076338242,1.223009824,0.276828836,-1.70799543,-1.561705689,-1.628125965,0.441,0.63777946
lo,jv,4,0.596101316,-0.03596899,0.007677543,0.571061437,-1.076338242,1.185579011,0.276828836,0.43140726,-0.726776875,0.658285164,0.4208,-1.151064936
lo,kk,3,1.016241847,-1.399947409,0,0.632419405,-1.076338242,1.223009824,0.276828836,0.201324216,1.538221523,0.713086254,0.6643,-0.130410246
lo,rw,3,1.016241847,-1.399947409,0.003838772,-1.276296374,-1.076338242,0.058616902,0.276828836,0.471773613,-0.514445277,-1.628125965,0.4772,0.569645256
lo,ky,4,0.596101316,-0.03596899,0.001919386,0.632419405,-1.076338242,1.223009824,0.276828836,0.52562751,0.429639912,0.579980434,0.6088,-0.286719014
lo,ku,5,-0.47589031,0.734235025,0.011516315,-0.080624024,-1.076338242,0.78802483,0.276828836,-0.541532298,1.101758677,-1.628125965,0.6643,0.196863675
lo,mr,6,-1.432728774,0.917845425,0,0.632419405,-1.076338242,1.223009824,0.276828836,0.591863477,-0.281384206,-1.628125965,0.4997,-0.667352587
lo,mt,4,0.596101316,-0.03596899,0.003838772,-0.905673975,-1.076338242,0.28471138,0.276828836,1.985327829,-0.139163616,-1.628125965,0.4617,0.641745474
lo,my,3,1.016241847,-1.399947409,0.005758157,-0.236001721,-1.076338242,0.693238224,0.276828836,0.827294219,-0.043084499,0.568066156,0.4425,-1.707364926
lo,ms,6,-1.432728774,0.917845425,0,0.632419405,-1.076338242,1.223009824,0.276828836,-0.18070899,0.382832805,-1.628125965,0.6643,1.590962734
