Source,Target,BLEU,dataset size (sent),Source lang word TTR,Source lang subword TTR,Target lang word TTR,Target lang subword TTR,Source lang vocab size,Source lang subword vocab size,Target lang vocab size,Target lang subword vocab size,Source lang Average Sent. Length,Target lang average sent. length,Source lang word Count,Source lang subword Count,Target lang word Count,Target lang subword Count,geographic,genetic,inventory,syntactic,phonological,featural
bos,nld,3.8,45271,0.1708123,0.004617048,0.11703309,0.004954009,104525,5367,78198,5423,13.51701973,14.75933821,611929,1162431,668170,1094669,0.1,0.9,0.6068,0.54,0.0002,0.7
bos,pol,2.9,48283,0.171064283,0.004447461,0.16444808,0.004040615,107602,5333,106144,5414,13.02767019,13.36818342,629015,1199111,645456,1339895,0,0.5,0.6597,0.52,0.6162,0.7
bos,por,9.9,62118,0.142018594,0.002855195,0.080974337,0.002810358,142458,5461,94659,5534,16.14820181,18.81902186,1003094,1912654,1169000,1969144,0.1,0.9333,0.6328,0.53,0.0002,0.7
bos,por,10.9,,,,,,,,,,,,,,,,0.1,0.9333,0.6328,0.53,0.0002,0.7
bos,ron,5.7,37605,0.163671972,0.004538028,0.115726718,0.004510529,100035,5333,80771,5352,16.25294509,18.55992554,611192,1175180,697946,1186557,0,0.8889,0.6552,0.54,0.641,0.7
bos,rus,4.8,59540,0.15489243,0.003523255,0.159990709,0.003365729,125266,5397,129488,5513,13.58295264,13.59333221,808729,1531822,809347,1637981,0.2,0.4,0.688,0.52,0.6162,0.7
bos,slk,3.1,25108,0.204759258,0.00702304,0.200242111,0.006912288,75876,5264,75263,5268,14.75872232,14.96973076,370562,749533,375860,762121,0,0.625,0,0.7,0.0002,0.8
bos,slv,10.4,34165,0.170368133,0.004895057,0.161739574,0.00507428,95867,5335,95208,5506,16.47021806,17.22962096,562705,1089875,588650,1085080,0,0.1667,0.669,0.36,0.0002,0.6
bos,srp,10.6,130890,0.092067155,0.001204238,0.099298195,0.001187474,244328,5940,263666,6039,20.27505539,20.28646191,2653802,4932580,2655295,5085585,0,0.125,0,0.56,0.8278,0.6
bos,swe,4.4,38600,0.17997428,0.004871085,0.146267059,0.005163772,101882,5299,83332,5325,14.66559585,14.75971503,566092,1087848,569725,1031223,0.1,0.8571,0.6153,0.53,0.0002,0.7
bos,tur,1.5,33212,0.180788191,0.00592168,0.177192182,0.00608008,83725,5279,80427,5302,13.94408647,13.66665663,463111,891470,453897,872028,0.1,1,0.6196,0.65,0.5922,0.8
bos,ukr,5.4,39682,0.177495379,0.004971904,0.176916807,0.004683653,97757,5270,96811,5309,13.87929036,13.78992994,550758,1059956,547212,1133517,0,0.5,0.6737,0.47,0.0002,0.7
bos,vie,5.8,38866,0.164110741,0.004158985,0.048293736,0.003661588,109924,5358,46530,5607,17.23398343,24.78976483,669816,1288295,963479,1531303,0.4,1,0.6153,0.68,0.5456,0.8
bos,cmn,2.8,,,,,,,,,,,,,,,,0.4,1,0.624,0.61,0.5687,0.8
