Source,Target,BLEU,dataset size (sent),Source lang word TTR,Source lang subword TTR,Target lang word TTR,Target lang subword TTR,Source lang vocab size,Source lang subword vocab size,Target lang vocab size,Target lang subword vocab size,Source lang Average Sent. Length,Target lang average sent. length,Source lang word Count,Source lang subword Count,Target lang word Count,Target lang subword Count,geographic,genetic,inventory,syntactic,phonological,featural
ind,ita,12.7,0.537406383,-0.845271462,-0.447815714,-0.935609543,-0.711659772,0.235729262,0.801535127,0.356445489,0.75711589,0.689250429,1.173810747,0.653672877,0.576607706,0.784970119,0.772596635,0.6,1,0.4312,0.52,0.5687,0.5
jpn,ita,4.6,0.773113532,2.180886729,-1.025337775,-1.01708991,-0.83453168,1.57904077,-0.216360859,0.217339822,0.120329532,-3.511019176,0.26656827,-0.280327629,0.749439929,0.743865004,0.692467847,0.5,1,0.5633,0.75,0.6162,0.7
kor,ita,3.2,-0.129419468,-1.314738167,-0.45468227,-0.21820432,0.102915519,-1.728507877,-1.674572226,-0.321721579,-0.182324041,-0.803614865,0.129277886,-0.330287626,-0.106863432,-0.077394594,-0.131990629,0.4,1,0.5861,0.69,0.641,0.7
mkd,ita,11.1,-0.295076076,0.055099362,0.179522685,-0.55424093,0.054755114,-0.14835065,-0.205915725,-0.548914893,-0.143115268,0.47288565,0.857339652,-0.12810779,-0.199045159,-0.0239942,-0.083052578,0,0.9,0.4473,0.56,0.0002,0.5
ron,ita,15.5,0.652286183,-0.776931338,-0.899709145,-1.06386507,-0.96709357,0.619636584,0.310942801,0.399383077,0.366709273,1.081838909,1.188551312,0.859896686,0.79694451,0.888763863,0.865689293,0,0.3333,0.3812,0.42,0.641,0.4
rus,ita,11.7,1.403602286,-0.320002669,-1.594790969,-1.391535802,-1.559996737,1.77306864,0.842287495,1.016899393,0.896357545,0.408727077,0.964199743,1.330025815,1.493629012,1.480649803,1.481227281,0.2,0.8,0.4693,0.56,0.6162,0.5
slk,ita,6.9,-0.298686394,0.645620145,0.276010049,-0.335510294,0.235358678,0.104722152,-0.239437756,-0.550117281,-0.165079318,-0.209297624,0.386731167,-0.316191899,-0.284560618,-0.154669135,-0.23177749,0,0.9,0.6737,0.61,0.0002,0.7
srp,ita,8.2,-0.137837483,0.654302754,-0.028190862,-0.460258868,-0.042440168,0.44546242,-0.165097203,-0.325643189,-0.131496309,0.064356435,0.67739154,-0.102282359,-0.023672432,0.063835532,-0.003069442,0,0.9,0.6737,0.61,0.8278,0.8
swe,ita,13.3,0.592195486,-0.082777997,-0.650623379,-0.78644343,-0.781867985,0.838951798,0.217712024,0.413421691,0.328621711,0.273494877,0.806558514,0.588548173,0.574321198,0.733038561,0.708828989,0.1,0.9,0.5422,0.51,0.0002,0.5
tur,ita,6.4,0.221149357,0.304374616,-0.107363426,-0.605780795,-0.335161618,0.472011897,0.060303887,-0.066463823,0.023091014,-0.256138221,0.46082566,0.122655444,0.101554644,0.317005279,0.271085943,0.1,1,0.5168,0.67,0.5922,0.6
